book_id,wikipedia_url
2113,"https://en.wikipedia.org/wiki/History_of_Friedrich_II._of_Prussia,_Called_Frederick_the_Great"
2114,"https://en.wikipedia.org/wiki/History_of_Friedrich_II._of_Prussia,_Called_Frederick_the_Great"
2115,"https://en.wikipedia.org/wiki/History_of_Friedrich_II._of_Prussia,_Called_Frederick_the_Great"
2116,"https://en.wikipedia.org/wiki/History_of_Friedrich_II._of_Prussia,_Called_Frederick_the_Great"
2117,"https://en.wikipedia.org/wiki/History_of_Friedrich_II._of_Prussia,_Called_Frederick_the_Great"
2118,"https://en.wikipedia.org/wiki/History_of_Friedrich_II._of_Prussia,_Called_Frederick_the_Great"
2119,"https://en.wikipedia.org/wiki/History_of_Friedrich_II._of_Prussia,_Called_Frederick_the_Great"
2120,"https://en.wikipedia.org/wiki/History_of_Friedrich_II._of_Prussia,_Called_Frederick_the_Great"
2121,"https://en.wikipedia.org/wiki/History_of_Friedrich_II._of_Prussia,_Called_Frederick_the_Great"
2122,"https://en.wikipedia.org/wiki/History_of_Friedrich_II._of_Prussia,_Called_Frederick_the_Great"
2138,https://en.wikipedia.org/wiki/The_Day%27s_Work
2166,https://en.wikipedia.org/wiki/King_Solomon%27s_Mines
2189,https://de.wikipedia.org/wiki/Der_G%E2%80%99wissenswurm
2190,"https://de.wikipedia.org/wiki/Isabella_von_%C3%84gypten,_Kaiser_Karl_des_F%C3%BCnften_erste_Jugendliebe"
2229,https://de.wikipedia.org/wiki/Faust._Eine_Trag%C3%B6die
2229,"https://en.wikipedia.org/wiki/Faust,_Part_One"
2230,https://de.wikipedia.org/wiki/Faust._Der_Trag%C3%B6die_zweiter_Teil
2230,"https://en.wikipedia.org/wiki/Faust,_Part_Two"
2241,https://en.wikipedia.org/wiki/Love%27s_Labour%27s_Lost
2242,https://en.wikipedia.org/wiki/A_Midsummer_Night%27s_Dream
2246,https://en.wikipedia.org/wiki/All%27s_Well_That_Ends_Well
2248,https://en.wikipedia.org/wiki/The_Winter%27s_Tale
2251,"https://en.wikipedia.org/wiki/Henry_IV,_Part_1"
2252,"https://en.wikipedia.org/wiki/Henry_IV,_Part_2"
2254,"https://en.wikipedia.org/wiki/Henry_VI,_Part_1"
2255,"https://en.wikipedia.org/wiki/Henry_VI,_Part_2"
2256,"https://en.wikipedia.org/wiki/Henry_VI,_Part_3"
2319,https://en.wikipedia.org/wiki/West%E2%80%93%C3%B6stlicher_Divan
2321,https://en.wikipedia.org/wiki/G%C3%B6tz_von_Berlichingen_(Goethe)
2335,https://en.wikipedia.org/wiki/Wilhelm_Meister%27s_Apprenticeship
2336,https://en.wikipedia.org/wiki/Wilhelm_Meister%27s_Apprenticeship
2337,https://en.wikipedia.org/wiki/Wilhelm_Meister%27s_Apprenticeship
2338,https://en.wikipedia.org/wiki/Wilhelm_Meister%27s_Apprenticeship
2339,https://en.wikipedia.org/wiki/Wilhelm_Meister%27s_Apprenticeship
2340,https://en.wikipedia.org/wiki/Wilhelm_Meister%27s_Apprenticeship
2341,https://en.wikipedia.org/wiki/Wilhelm_Meister%27s_Apprenticeship
2342,https://en.wikipedia.org/wiki/Wilhelm_Meister%27s_Apprenticeship
2349,https://en.wikipedia.org/wiki/The_Adventure_of_the_Devil%27s_Foot
2409,https://en.wikipedia.org/wiki/Wilhelm_Meister%27s_Journeyman_Years
2410,https://en.wikipedia.org/wiki/Wilhelm_Meister%27s_Journeyman_Years
2411,https://en.wikipedia.org/wiki/Wilhelm_Meister%27s_Journeyman_Years
2414,https://en.wikipedia.org/wiki/Clig%C3%A8s
2419,https://fr.wikipedia.org/wiki/La_Dame_aux_cam%C3%A9lias
2421,https://en.wikipedia.org/wiki/The_Beggar%27s_Opera
2462,https://en.wikipedia.org/wiki/Do%C3%B1a_Perfecta
2469,https://en.wikipedia.org/wiki/List_of_La_Com%C3%A9die_humaine_characters
2522,https://en.wikipedia.org/wiki/A_Dark_Night%27s_Work
2536,https://en.wikipedia.org/wiki/Amphitryon_(Moli%C3%A8re_play)
2542,https://en.wikipedia.org/wiki/A_Doll%27s_House
2568,https://en.wikipedia.org/wiki/Trent%27s_Last_Case_(novel)
2569,https://en.wikipedia.org/wiki/The_Day%27s_Work
2591,https://en.wikipedia.org/wiki/Grimms%27_Fairy_Tales
2602,https://en.wikipedia.org/wiki/Queen_Sheba%27s_Ring
2607,"https://en.wikipedia.org/wiki/Psmith,_Journalist"
2650,https://fr.wikipedia.org/wiki/Du_c%C3%B4t%C3%A9_de_chez_Swann
2679,https://en.wikipedia.org/wiki/I%27m_Nobody!_Who_are_you%3F
2713,https://en.wikipedia.org/wiki/Maiwa%27s_Revenge
2727,https://en.wikipedia.org/wiki/Allan%27s_Wife_and_Other_Tales
2763,https://en.wikipedia.org/wiki/The_World%27s_Desire
2806,https://en.wikipedia.org/wiki/The_Phantom_%27Rickshaw_and_Other_Tales
2880,https://en.wikipedia.org/wiki/A_Blot_in_the_%27Scutcheon
2931,https://en.wikipedia.org/wiki/Man%27s_Place_in_Nature
2997,https://en.wikipedia.org/wiki/Time%27s_Laughingstocks_and_Other_Verses
3006,https://en.wikipedia.org/wiki/Stalky_%26_Co.
3021,https://en.wikipedia.org/wiki/A_Boy%27s_Will
3023,"https://en.wikipedia.org/wiki/Faust,_Part_One"
